X,1 Layers,2 Layers,3 Layers,4 Layers,5 Layers,6 Layers,7 Layers,8 Layers,9 Layers,10 Layers
10 MB,20,33,54,77,91,114,130,153,172,195
11 MB,20,33,54,77,91,114,130,153,172,195
12 MB,20,33,54,77,91,114,130,153,172,195
13 MB,20,33,54,77,91,114,130,153,172,195
14 MB,20,33,54,77,91,114,130,153,172,195
15 MB,20,33,54,77,91,114,130,153,172,195
16 MB,20,33,54,77,91,114,130,153,172,195
17 MB,20,33,54,77,91,114,130,153,172,195
18 MB,20,33,54,77,91,114,130,153,172,195
19 MB,20,33,54,77,91,114,130,153,172,195
20 MB,20,33,54,77,91,114,130,153,172,195
